name,embedding_dim,hidden_size,num_layers,dropout,learning_rate,best_epoch,best_val_loss,val_accuracy_at_best_loss,max_val_accuracy
GRU_20,128,256,2,0.5,0.001,6,0.2509754691562118,0.9133700550826239,0.9238858287431146
GRU_18,128,128,1,0.3,0.001,7,0.2889,0.9034,0.9134
GRU_14,64,128,1,0.3,0.001,8,0.295,0.9039,0.9064
GRU_16,64,128,2,0.4,0.001,7,0.309,0.8973,0.9034
GRU_10,64,64,1,0.2,0.001,10,0.3225,0.8988,0.8988
GRU_19,128,256,2,0.5,0.0005,10,0.3304,0.8958,0.8958
GRU_12,64,64,2,0.4,0.001,10,0.3324,0.9039,0.9039
GRU_08,32,128,2,0.3,0.001,10,0.342,0.8833,0.8833
GRU_06,32,128,1,0.3,0.001,10,0.3531,0.8803,0.8803
GRU_17,128,128,1,0.3,0.0005,10,0.3993,0.8838,0.8838
GRU_04,32,64,2,0.2,0.001,10,0.4154,0.8743,0.8743
GRU_02,32,64,1,0.2,0.001,10,0.448,0.8578,0.8578
GRU_13,64,128,1,0.3,0.0005,10,0.4544,0.8568,0.8568
GRU_15,64,128,2,0.4,0.0005,10,0.5063,0.8458,0.8458
GRU_11,64,64,2,0.4,0.0005,10,0.6297,0.7912,0.7912
GRU_07,32,128,2,0.3,0.0005,10,0.6943,0.7586,0.7586
GRU_05,32,128,1,0.3,0.0005,10,0.7381,0.7446,0.7446
GRU_09,64,64,1,0.2,0.0005,10,0.7421,0.7516,0.7516
GRU_03,32,64,2,0.2,0.0005,10,0.8403,0.7021,0.7021
GRU_01,32,64,1,0.2,0.0005,10,0.9635,0.6605,0.6605
