name,embedding_dim,hidden_size,num_layers,dropout,learning_rate,best_epoch,best_val_loss,val_accuracy_at_best_loss,max_val_accuracy
LSTM_20,128,256,2,0.5,0.001,7,0.2739924961886647,0.9118678017025539,0.9118678017025539
LSTM_18,128,128,1,0.3,0.001,7,0.3246,0.9029,0.9059
LSTM_14,64,128,1,0.3,0.001,10,0.3482,0.9019,0.9019
LSTM_16,64,128,2,0.4,0.001,9,0.3597,0.8853,0.8898
LSTM_19,128,256,2,0.5,0.0005,10,0.3746,0.8898,0.8898
LSTM_06,32,128,1,0.3,0.001,10,0.4167,0.8608,0.8608
LSTM_12,64,64,2,0.4,0.001,10,0.4258,0.8748,0.8748
LSTM_08,32,128,2,0.3,0.001,10,0.4301,0.8693,0.8693
LSTM_10,64,64,1,0.2,0.001,10,0.4497,0.8623,0.8623
LSTM_17,128,128,1,0.3,0.0005,10,0.454,0.8588,0.8588
LSTM_04,32,64,2,0.2,0.001,10,0.5357,0.8453,0.8453
LSTM_02,32,64,1,0.2,0.001,10,0.5416,0.8227,0.8227
LSTM_15,64,128,2,0.4,0.0005,10,0.6296,0.8022,0.8022
LSTM_13,64,128,1,0.3,0.0005,9,0.6658,0.7827,0.7912
LSTM_09,64,64,1,0.2,0.0005,10,0.8041,0.7366,0.7366
LSTM_11,64,64,2,0.4,0.0005,10,0.8154,0.7241,0.7241
LSTM_07,32,128,2,0.3,0.0005,10,0.8736,0.6965,0.6965
LSTM_05,32,128,1,0.3,0.0005,10,0.9314,0.6805,0.6805
LSTM_03,32,64,2,0.2,0.0005,10,0.9612,0.661,0.661
LSTM_01,32,64,1,0.2,0.0005,10,1.0618,0.6269,0.6269
